Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	238026701	238026701	+	0	NA	"intron (NR_027247, intron 2 of 11)"	MLT1M|LTR|ERVL-MaLR	1226	NR_027247	100130331	Hs.661736	NR_027247	ENSG00000237250	LOC100130331	-	"POTE ankyrin domain family, member F pseudogene"	pseudo
chr1	20412823	20412823	+	0	NA	"intron (NM_000929, intron 3 of 4)"	MIRb|SINE|MIR	16122	NM_000929	5322	Hs.319438	NM_000929	ENSG00000127472	PLA2G5	FRFB|GV-PLA2|PLA2-10|hVPLA(2)	phospholipase A2 group V	protein-coding
chr1	23011705	23011705	+	0	NA	Intergenic	Intergenic	-25626	NM_001309193	2048	Hs.380705	NM_004442	ENSG00000133216	EPHB2	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5	EPH receptor B2	protein-coding
chr10	8239766	8239766	+	0	NA	Intergenic	L1ME4a|LINE|L1	70502	NR_108058	100507143	Hs.258979	NR_108058	ENSG00000232170	LINC00708	GS1-756B1.2	long intergenic non-protein coding RNA 708	ncRNA
chr10	33458609	33458609	+	0	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	165224	NM_001024628	8829	Hs.131704	NM_003873	ENSG00000099250	NRP1	BDCA4|CD304|NP1|NRP|VEGF165R	neuropilin 1	protein-coding
chr1	87818202	87818202	+	0	NA	Intergenic	Intergenic	19136	NR_038324	100505768	Hs.125247	NR_038324	ENSG00000227290	LINC01364	-	long intergenic non-protein coding RNA 1364	ncRNA
chr1	216478713	216478713	+	0	NA	"intron (NM_007123, intron 9 of 20)"	L1PBa|LINE|L1	118025	NM_007123	7399	Hs.655974	NM_007123	ENSG00000042781	USH2A	RP39|US2|USH2|dJ1111A8.1	usherin	protein-coding
chr10	78787403	78787403	+	0	NA	"intron (NM_001322837, intron 16 of 28)"	"intron (NM_001322837, intron 16 of 28)"	-113186	NR_120654	101929310	Hs.666457	NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
chr1	49748095	49748095	+	0	NA	"intron (NR_136623, intron 2 of 12)"	"intron (NR_136623, intron 2 of 12)"	25012	NR_125988	101929721	Hs.639985	NR_125988	ENSG00000230114	LOC101929721	-	uncharacterized LOC101929721	ncRNA
chr1	228293797	228293797	+	0	NA	TTS (NM_181441)	TTS (NM_181441)	-2634	NM_024319	79169	Hs.445952	NM_024319	ENSG00000143793	C1orf35	MMTAG2	chromosome 1 open reading frame 35	protein-coding
chr10	14934661	14934661	+	0	NA	"intron (NM_001193427, intron 2 of 5)"	"intron (NM_001193427, intron 2 of 5)"	13762	NM_024670	79723	Hs.554883	NM_024670	ENSG00000152455	SUV39H2	KMT1B	suppressor of variegation 3-9 homolog 2	protein-coding
chr10	131431763	131431763	+	0	NA	"intron (NM_002412, intron 2 of 4)"	"intron (NM_002412, intron 2 of 4)"	166315	NM_002412	4255	Hs.501522	NM_002412	ENSG00000170430	MGMT	-	O-6-methylguanine-DNA methyltransferase	protein-coding
chr1	61001218	61001218	+	0	NA	Intergenic	LTR16B2|LTR|ERVL	290038	NR_110628	101926964	Hs.650459	NR_110628	ENSG00000231252	LOC101926964	-	uncharacterized LOC101926964	ncRNA
chr10	54801273	54801273	+	0	NA	Intergenic	L1MEf|LINE|L1	-269813	NM_000242	4153	Hs.499674	NM_000242	ENSG00000165471	MBL2	COLEC1|HSMBPC|MBL|MBL2D|MBP|MBP-C|MBP1|MBPD	mannose binding lectin 2	protein-coding
chr10	16581596	16581596	+	0	NA	Intergenic	Intergenic	-17592	NM_001010908	389941	Hs.676792	NM_001010908	ENSG00000165985	C1QL3	C1QTNF13|C1ql|CTRP13|K100	complement C1q like 3	protein-coding
chr10	125088742	125088742	+	0	NA	Intergenic	Intergenic	174982	NM_001007793	9184	Hs.418533	NM_004725	ENSG00000154473	BUB3	BUB3L|hBUB3	"BUB3, mitotic checkpoint protein"	protein-coding
chr1	162512976	162512976	+	0	NA	Intergenic	Intergenic	-18254	NM_001324116	6675	Hs.492859	NM_003115	ENSG00000117143	UAP1	AGX|AGX1|AGX2|SPAG2	UDP-N-acetylglucosamine pyrophosphorylase 1	protein-coding
chr11	111443158	111443158	+	0	NA	Intergenic	LTR33|LTR|ERVL	-29957	NM_015191	23235	Hs.269128	NM_015191	ENSG00000170145	SIK2	LOH11CR1I|QIK|SIK-2|SNF1LK2	salt inducible kinase 2	protein-coding
chr10	103500124	103500124	+	0	NA	Intergenic	Intergenic	35635	NM_006119	2253	Hs.57710	NM_006119	ENSG00000107831	FGF8	AIGF|FGF-8|HBGF-8|HH6|KAL6	fibroblast growth factor 8	protein-coding
chr1	39960632	39960632	+	0	NA	"intron (NM_181809, intron 1 of 6)"	"intron (NM_181809, intron 1 of 6)"	3314	NM_181809	353500	Hs.472497	NM_181809	ENSG00000183682	BMP8A	-	bone morphogenetic protein 8a	protein-coding
chr10	2818223	2818223	+	0	NA	Intergenic	Intergenic	-274569	NR_136146	105376351	Hs.343482	NR_136146		LOC105376351	-	uncharacterized LOC105376351	ncRNA
chr10	61308170	61308170	+	0	NA	Intergenic	L1MC4a|LINE|L1	161479	NM_001323979	220963	Hs.499709	NM_194298	ENSG00000165449	SLC16A9	C10orf36|MCT9	solute carrier family 16 member 9	protein-coding
chr1	239908697	239908697	+	0	NA	"intron (NM_000740, intron 3 of 4)"	"intron (NM_000740, intron 3 of 4)"	-26278	NR_103776	100506915	Hs.667175	NR_103776	ENSG00000233355	CHRM3-AS2	-	CHRM3 antisense RNA 2	ncRNA
chr1	109875341	109875341	+	0	NA	"intron (NM_002959, intron 11 of 19)"	L1MA9|LINE|L1	-25678	NM_001010985	343263	Hs.443402	NM_001010985	ENSG00000221986	MYBPHL	-	myosin binding protein H like	protein-coding
chr1	65461899	65461899	+	0	NA	"intron (NR_119383, intron 1 of 6)"	"intron (NR_119383, intron 1 of 6)"	6260	NR_119383	101927084	Hs.734218	NR_119383	ENSG00000226891	LINC01359	-	long intergenic non-protein coding RNA 1359	ncRNA
chr1	200848988	200848988	+	0	NA	Intergenic	MIR|SINE|MIR	6905	NM_005298	2848	Hs.534316	NM_005298	ENSG00000170128	GPR25	-	G protein-coupled receptor 25	protein-coding
chr1	247204798	247204798	+	0	NA	"intron (NM_033213, intron 1 of 3)"	"intron (NM_033213, intron 1 of 3)"	-33403	NR_037892	57116	Hs.669893	NM_020394	ENSG00000197472	ZNF695	SBZF3	zinc finger protein 695	protein-coding
chr1	93218549	93218549	+	0	NA	"intron (NM_005665, intron 1 of 17)"	L2b|LINE|L2	39412	NM_005665	7813	Hs.594434	NM_005665	ENSG00000067208	EVI5	EVI-5|NB4S	ecotropic viral integration site 5	protein-coding
chr1	223745132	223745132	+	0	NA	"intron (NM_001143962, intron 10 of 16)"	"intron (NM_001143962, intron 10 of 16)"	108304	NM_001143962	388743	Hs.291487	NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
chr1	241862238	241862238	+	0	NA	"intron (NM_144625, intron 7 of 26)"	THE1C|LTR|ERVL-MaLR	46658	NM_144625	128025	Hs.97527	NM_144625	ENSG00000162843	WDR64	-	WD repeat domain 64	protein-coding
chr10	51065746	51065746	+	0	NA	"intron (NM_003631, intron 12 of 17)"	"intron (NM_003631, intron 12 of 17)"	-95321	NM_001347821	55753	Hs.17860	NM_018245	ENSG00000197444	OGDHL	-	oxoglutarate dehydrogenase-like	protein-coding
chr1	31662118	31662118	+	0	NA	"intron (NM_024522, intron 1 of 6)"	MLT1H|LTR|ERVL-MaLR	50616	NM_024522	79570	Hs.470259	NM_024522	ENSG00000084628	NKAIN1	FAM77C	Sodium/potassium transporting ATPase interacting 1	protein-coding
chr10	109738076	109738076	+	0	NA	"intron (NR_125760, intron 4 of 4)"	L1PREC2|LINE|L1	90975	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
chr1	38198276	38198276	+	0	NA	"intron (NM_001099439, intron 6 of 16)"	"intron (NM_001099439, intron 6 of 16)"	32548	NM_001099439	284656	Hs.129435	NM_173641	ENSG00000183317	EPHA10	-	EPH receptor A10	protein-coding
chr1	82047334	82047334	+	0	NA	Intergenic	Intergenic	-23947	NR_125943	101927434	Hs.130394	NR_125943	ENSG00000234953	LOC101927434	-	uncharacterized LOC101927434	ncRNA
chr1	226756226	226756226	+	0	NA	"intron (NM_001003665, intron 1 of 3)"	"intron (NM_001003665, intron 1 of 3)"	19725	NM_001003665	375057	Hs.116827	NM_001003665	ENSG00000203685	STUM	C1orf95	"stum, mechanosensory transduction mediator homolog"	protein-coding
chr10	666504	666504	+	0	NA	"intron (NM_014974, intron 1 of 36)"	"intron (NM_014974, intron 1 of 36)"	21214	NR_049884	100847086		NR_049884	ENSG00000263511	MIR5699	mir-5699	microRNA 5699	ncRNA
chr1	4669497	4669497	+	0	NA	Intergenic	MIR3|SINE|MIR	-45608	NM_001042478	55966	Hs.12473	NM_018836	ENSG00000196581	AJAP1	MOT8|SHREW-1|SHREW1	adherens junctions associated protein 1	protein-coding
chr10	127991521	127991521	+	0	NA	"intron (NM_003474, intron 2 of 22)"	"intron (NM_003474, intron 2 of 22)"	85606	NM_003474	8038	Hs.594351	NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
chr10	80532131	80532131	+	0	NA	Intergenic	Intergenic	295074	NR_015429	283050	Hs.309176	NR_015429	ENSG00000224596	ZMIZ1-AS1	-	ZMIZ1 antisense RNA 1	ncRNA
chr10	36408782	36408782	+	0	NA	Intergenic	Intergenic	341552	NR_110138	102578074		NR_110138	ENSG00000280719	PCAT5	LINC01452|TPCAT-10-36067	prostate cancer associated transcript 5 (non-protein coding)	ncRNA
chr10	88731165	88731165	+	0	NA	TTS (NM_006829)	TTS (NM_006829)	667	NM_133447	119385	Hs.511787	NM_133447		AGAP11	-	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"	protein-coding
chr11	100670745	100670745	+	0	NA	"intron (NM_152432, intron 3 of 23)"	"intron (NM_152432, intron 3 of 23)"	-112059	NR_133571	100128386	Hs.635125	NR_133571	ENSG00000248027	LOC100128386	-	uncharacterized LOC100128386	ncRNA
chr10	21705132	21705132	+	0	NA	Intergenic	Intergenic	80438	NR_031736	100302129		NR_031736	ENSG00000222071	MIR1915	MIRN1915|hsa-mir-1915	microRNA 1915	ncRNA
chr10	117838536	117838536	+	0	NA	"intron (NM_001145453, intron 8 of 9)"	"intron (NM_001145453, intron 8 of 9)"	193283	NM_145793	2674	Hs.388347	NM_005264	ENSG00000151892	GFRA1	GDNFR|GDNFRA|GFR-ALPHA-1|RET1L|RETL1|TRNR1	GDNF family receptor alpha 1	protein-coding
chr1	179808678	179808678	+	0	NA	TTS (NM_001199260)	TTS (NM_001199260)	38263	NM_022347	163590	Hs.571797	NM_022347	ENSG00000169905	TOR1AIP2	IFRG15|LULL1|NET9	torsin 1A interacting protein 2	protein-coding
chr1	9790856	9790856	+	0	NA	"intron (NM_001009566, intron 18 of 18)"	"intron (NM_001009566, intron 18 of 18)"	-43224	NR_126367	101929074	Hs.661762	NR_126366	ENSG00000231789	PIK3CD-AS2	-	PIK3CD antisense RNA 2	ncRNA
chr10	33827860	33827860	+	0	NA	Intergenic	Intergenic	-204027	NM_001244972	8829	Hs.131704	NM_003873	ENSG00000099250	NRP1	BDCA4|CD304|NP1|NRP|VEGF165R	neuropilin 1	protein-coding
chr11	10124844	10124844	+	0	NA	"intron (NM_030962, intron 2 of 39)"	HUERS-P1-int|LTR|ERV1	190910	NM_030962	81846	Hs.577252	NM_030962	ENSG00000133812	SBF2	CMT4B2|DENND7B|MTMR13	SET binding factor 2	protein-coding
chr1	41585480	41585480	+	0	NA	"intron (NM_001031694, intron 6 of 15)"	MLT1K|LTR|ERVL-MaLR	41624	NR_135092	22955	Hs.571874	NM_012236	ENSG00000010803	SCMH1	Scml3	sex comb on midleg homolog 1 (Drosophila)	protein-coding
chr1	160023168	160023168	+	0	NA	"intron (NM_002241, intron 1 of 1)"	"intron (NM_002241, intron 1 of 1)"	16883	NM_002241	3766	Hs.408960	NM_002241	ENSG00000177807	KCNJ10	BIRK-10|KCNJ13-PEN|KIR1.2|KIR4.1|SESAME	potassium voltage-gated channel subfamily J member 10	protein-coding
chr10	124656640	124656640	+	0	NA	"intron (NR_027282, intron 5 of 5)"	Charlie1|DNA|hAT-Charlie	-13577	NM_001029888	118670	Hs.369829	NM_001029888	ENSG00000203795	FAM24A	-	family with sequence similarity 24 member A	protein-coding
chr1	80891481	80891481	+	0	NA	Intergenic	Intergenic	-109959	NR_125941	101927412	Hs.171273	NR_125940	ENSG00000234184	LINC01781	-	long intergenic non-protein coding RNA 1781	ncRNA
chr10	88234990	88234990	+	0	NA	"intron (NM_015045, intron 4 of 18)"	"intron (NM_015045, intron 4 of 18)"	46551	NM_001318328	23063	Hs.203099	NM_015045	ENSG00000062650	WAPL	FOE|KIAA0261|WAPAL	WAPL cohesin release factor	protein-coding
chr10	43487749	43487749	+	0	NA	Intergenic	Intergenic	-5262	NR_049836	100847014		NR_049836	ENSG00000263795	MIR5100	-	microRNA 5100	ncRNA
chr10	78444550	78444550	+	0	NA	Intergenic	Intergenic	-203252	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
chr1	232253081	232253081	+	0	NA	Intergenic	L1MB5|LINE|L1	191501	NR_126441	104472714		NR_126441	ENSG00000226758	DISC1-IT1	-	DISC1 intronic transcript 1	ncRNA
chr1	231835249	231835249	+	0	NA	"intron (NR_028400, intron 7 of 7)"	L2a|LINE|L2	72688	NM_001164555	27185	Hs.13318	NM_018662	ENSG00000162946	DISC1	C1orf136|SCZD9	disrupted in schizophrenia 1	protein-coding
chr1	112502831	112502831	+	0	NA	"intron (NM_004980, intron 2 of 7)"	"intron (NM_004980, intron 2 of 7)"	28946	NM_172198	3752	Hs.666367	NM_004980	ENSG00000171385	KCND3	BRGDA9|KCND3L|KCND3S|KSHIVB|KV4.3|SCA19|SCA22	potassium voltage-gated channel subfamily D member 3	protein-coding
chr1	47167125	47167125	+	0	NA	"intron (NM_014774, intron 3 of 10)"	"intron (NM_014774, intron 3 of 10)"	17611	NM_014774	9813	Hs.707688	NM_014774	ENSG00000159658	EFCAB14	KIAA0494	EF-hand calcium binding domain 14	protein-coding
chr1	13671170	13671170	+	0	NA	"intron (NM_001291380, intron 2 of 3).2"	"intron (NM_001291380, intron 2 of 3).2"	2341	NM_001291380	400736		NM_001291380		PRAMEF13	-	PRAME family member 13	protein-coding
chr1	125085110	125085110	+	0	NA	Intergenic	Intergenic	3824200	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr1	212273620	212273620	+	0	NA	"exon (NM_001286229, exon 12 of 13)"	"exon (NM_001286229, exon 12 of 13)"	22665	NR_036068	100422947		NR_036068	ENSG00000264358	MIR3122	mir-3122	microRNA 3122	ncRNA
chr1	61858299	61858299	+	0	NA	"intron (NM_001145511, intron 7 of 10)"	"intron (NM_001145511, intron 7 of 10)"	-139109	NR_104180	645030	Hs.632410	NR_104180	ENSG00000237853	NFIA-AS1	-	NFIA antisense RNA 1	ncRNA
chr1	49737855	49737855	+	0	NA	"intron (NR_136623, intron 2 of 12)"	LTR49-int|LTR|ERV1	14772	NR_125988	101929721	Hs.639985	NR_125988	ENSG00000230114	LOC101929721	-	uncharacterized LOC101929721	ncRNA
chr10	83699391	83699391	+	0	NA	"intron (NM_001165973, intron 1 of 10)"	L1MB2|LINE|L1	61948	NM_001165973	10718	Hs.125119	NM_001010848	ENSG00000185737	NRG3	HRG3|pro-NRG3	neuregulin 3	protein-coding
chr10	74191762	74191762	+	0	NA	"intron (NM_006077, intron 8 of 11)"	L1M5|LINE|L1	-76855	NM_001002762	54788	Hs.500013	NM_017626	ENSG00000148719	DNAJB12	DJ10	DnaJ heat shock protein family (Hsp40) member B12	protein-coding
chr1	62436752	62436752	+	0	NA	"intron (NM_176877, intron 27 of 42)"	MIRc|SINE|MIR	-107706	NR_036058	100422902		NR_036058	ENSG00000263908	MIR3116-1	-	microRNA 3116-1	ncRNA
chr1	111066209	111066209	+	0	NA	Intergenic	Intergenic	-4412	NM_005549	3744	Hs.248140	NM_005549	ENSG00000143105	KCNA10	Kcn1|Kv1.8	potassium voltage-gated channel subfamily A member 10	protein-coding
chr10	71484592	71484592	+	0	NA	Intergenic	Intergenic	-77052	NM_080805	1305	Hs.695934	NM_005203	ENSG00000197467	COL13A1	CMS19|COLXIIIA1	collagen type XIII alpha 1 chain	protein-coding
chr10	44979286	44979286	+	0	NA	Intergenic	L1PA2|LINE|L1	-98741	NM_199168	6387	Hs.522891	NM_000609	ENSG00000107562	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	C-X-C motif chemokine ligand 12	protein-coding
chr1	125064579	125064579	+	0	NA	Intergenic	Intergenic	3803669	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr10	127369159	127369159	+	0	NA	"intron (NM_001318133, intron 1 of 3)"	"intron (NM_001318133, intron 1 of 3)"	2554	NM_001128202	387718	Hs.148259	NM_001128202	ENSG00000175018	TEX36	C10orf122|bA383C5.1	testis expressed 36	protein-coding
chr1	233148699	233148699	+	0	NA	"intron (NM_014801, intron 28 of 33)"	"intron (NM_014801, intron 28 of 33)"	62111	NR_138027	84284	Hs.642715	NM_032324	ENSG00000135778	NTPCR	C1orf57|HCR-NTPase	"nucleoside-triphosphatase, cancer-related"	protein-coding
chr10	128806933	128806933	+	0	NA	"intron (NM_001380, intron 10 of 51)"	"intron (NM_001380, intron 10 of 51)"	187489	NM_001039762	642938	Hs.613882	NM_001039762	ENSG00000188916	FAM196A	C10orf141|INSYN2	family with sequence similarity 196 member A	protein-coding
chr10	115759988	115759988	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	-43818	NM_000684	153	Hs.99913	NM_000684	ENSG00000043591	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	adrenoceptor beta 1	protein-coding
chr10	25441018	25441018	+	0	NA	"intron (NR_120649, intron 6 of 7)"	AluY|SINE|Alu	-23272	NM_020752	57512	Hs.499108	NM_020752	ENSG00000151025	GPR158	-	G protein-coupled receptor 158	protein-coding
chr10	78785431	78785431	+	0	NA	"intron (NM_001322837, intron 16 of 28)"	"intron (NM_001322837, intron 16 of 28)"	-115158	NR_120654	101929310	Hs.666457	NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
chr1	9525877	9525877	+	0	NA	Intergenic	MER102b|DNA|hAT-Charlie	-36822	NR_104622	100506022	Hs.131775	NR_104622		LOC100506022	-	uncharacterized LOC100506022	ncRNA
chr1	10650095	10650095	+	0	NA	"intron (NM_004565, intron 3 of 8)"	MIRb|SINE|MIR	115092	NM_004565	5195	Hs.149983	NM_004565	ENSG00000142655	PEX14	NAPP2|PBD13A|Pex14p|dJ734G22.2	peroxisomal biogenesis factor 14	protein-coding
chr10	32189889	32189889	+	0	NA	"intron (NM_018287, intron 3 of 19)"	AluSz|SINE|Alu	7965	NM_001270699	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding
chr1	48007153	48007153	+	0	NA	Intergenic	Intergenic	-104164	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
chr1	24878519	24878519	+	0	NA	"non-coding (NR_109781, exon 2 of 3)"	"non-coding (NR_109781, exon 2 of 3)"	3996	NR_109781	100506985	Hs.607088	NR_109781		LOC100506985	-	uncharacterized LOC100506985	ncRNA
chr1	45783697	45783697	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	-8848	NM_032756	84842	Hs.162717	NM_032756	ENSG00000186603	HPDL	4-HPPD-L|GLOXD1	4-hydroxyphenylpyruvate dioxygenase like	protein-coding
chr10	125154012	125154012	+	0	NA	Intergenic	Intergenic	240252	NM_001007793	9184	Hs.418533	NM_004725	ENSG00000154473	BUB3	BUB3L|hBUB3	"BUB3, mitotic checkpoint protein"	protein-coding
chr10	4558068	4558068	+	0	NA	Intergenic	L2a|LINE|L2	109407	NR_108056	100507059	Hs.158438	NR_108054	ENSG00000224382	LINC00703	-	long intergenic non-protein coding RNA 703	ncRNA
chr1	231384421	231384421	+	0	NA	"intron (NM_001316350, intron 1 of 14)"	"intron (NM_001316350, intron 1 of 14)"	-7488	NM_001300830	128061	Hs.743464	NM_152379	ENSG00000143633	C1orf131	-	chromosome 1 open reading frame 131	protein-coding
chr1	124897306	124897306	+	0	NA	Intergenic	Intergenic	3636396	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr10	84509838	84509838	+	0	NA	"intron (NM_001165972, intron 3 of 8)"	"intron (NM_001165972, intron 3 of 8)"	-517162	NR_120666	101929590	Hs.733268	NR_120666	ENSG00000225738	NRG3-AS1	C10orf100|Em:AC010157.1	NRG3 antisense RNA 1	ncRNA
chr1	97375518	97375518	+	0	NA	Intergenic	Intergenic	-185961	NR_046590	100873932	Hs.682651	NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
chr1	28138709	28138709	+	0	NA	"exon (NM_177424, exon 6 of 9)"	"exon (NM_177424, exon 6 of 9)"	-18543	NM_014110	5511	Hs.533474	NM_002713	ENSG00000117751	PPP1R8	ARD-1|ARD1|NIPP-1|NIPP1|PRO2047	protein phosphatase 1 regulatory subunit 8	protein-coding
chr10	52965123	52965123	+	0	NA	"intron (NM_006258, intron 2 of 17)"	AluSz|SINE|Alu	-94210	NR_030336	693190		NR_030336	ENSG00000207813	MIR605	MIRN605|hsa-mir-605|mir-605	microRNA 605	ncRNA
chr10	15734822	15734822	+	0	NA	"intron (NM_003638, intron 2 of 29)"	AluSz6|SINE|Alu	27512	NM_001291494	8516	Hs.171311	NM_003638	ENSG00000077943	ITGA8	-	integrin subunit alpha 8	protein-coding
chr1	3825927	3825927	+	0	NA	"intron (NR_024455, intron 2 of 3)"	MER77B|LTR|ERVL	8959	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA
chr10	37862844	37862844	+	0	NA	Intergenic	MLT1A0-int|LTR|ERVL-MaLR	29015	NM_001190489	100288485	Hs.727092	NM_001190489	ENSG00000256892	MTRNR2L7	HN7	MT-RNR2-like 7	protein-coding
chr1	104916213	104916213	+	0	NA	Intergenic	L1PA4|LINE|L1	300568	NR_033990	100129138	Hs.514487	NR_033990	ENSG00000215869	LOC100129138	-	"THAP domain containing, apoptosis associated protein 3 pseudogene"	pseudo
chr10	129385109	129385109	+	0	NA	Intergenic	LTR16C|LTR|ERVL	37496	NM_001030013	594857	Hs.643423	NM_001030013	ENSG00000214285	NPS	-	neuropeptide S	protein-coding
chr1	79305128	79305128	+	0	NA	Intergenic	Intergenic	167367	NM_022159	64123	Hs.132314	NM_022159	ENSG00000162618	ADGRL4	ELTD1|ETL|KPG_003	adhesion G protein-coupled receptor L4	protein-coding
chr1	174507044	174507044	+	0	NA	"intron (NM_014857, intron 13 of 20)"	"intron (NM_014857, intron 13 of 20)"	89832	NM_005684	9293	Hs.673850	NM_005684	ENSG00000203737	GPR52	-	G protein-coupled receptor 52	protein-coding
chr10	108177186	108177186	+	0	NA	Intergenic	L1PB1|LINE|L1	277263	NR_134331	105378470	Hs.142910	NR_134329	ENSG00000229775	LOC105378470	-	uncharacterized LOC105378470	ncRNA
chr10	2860925	2860925	+	0	NA	Intergenic	Intergenic	-248787	NM_001323071	5214	Hs.26010	NM_002627	ENSG00000067057	PFKP	ATP-PFK|PFK-C|PFK-P|PFKF	"phosphofructokinase, platelet"	protein-coding
chr1	18873823	18873823	+	0	NA	Intergenic	Intergenic	66399	NM_152375	127707	Hs.406913	NM_152375	ENSG00000179023	KLHDC7A	-	kelch domain containing 7A	protein-coding
chr1	109128596	109128596	+	0	NA	"intron (NM_001010883, intron 1 of 10)"	"intron (NM_001010883, intron 1 of 10)"	25625	NM_001010883	284611	Hs.200230	NM_001010883	ENSG00000162636	FAM102B	SYM-3B	family with sequence similarity 102 member B	protein-coding
chr1	120420289	120420289	+	0	NA	Intergenic	L1M6|LINE|L1	18858	NM_021794	11085	Hs.283011	NM_021794	ENSG00000134249	ADAM30	svph4	ADAM metallopeptidase domain 30	protein-coding
chr1	167216681	167216681	+	0	NA	"intron (NM_002697, intron 1 of 15)"	"intron (NM_002697, intron 1 of 15)"	26558	NR_037163	5451	Hs.283402	NM_002697	ENSG00000143190	POU2F1	OCT1|OTF1|oct-1B	POU class 2 homeobox 1	protein-coding
chr1	24218177	24218177	+	0	NA	"intron (NM_001841, intron 1 of 1)"	"intron (NM_001841, intron 1 of 1)"	21640	NM_001841	1269	Hs.73037	NM_001841	ENSG00000188822	CNR2	CB-2|CB2|CX5	cannabinoid receptor 2	protein-coding
chr1	172149304	172149304	+	0	NA	"intron (NM_015569, intron 14 of 20)"	"intron (NM_015569, intron 14 of 20)"	-35329	NR_038397	100628315	Hs.584880	NR_038397	ENSG00000230630	DNM3OS	DNM3-AS1|MIR199A2HG	DNM3 opposite strand/antisense RNA	ncRNA
chr10	104750270	104750270	+	0	NA	"intron (NM_199076, intron 1 of 6)"	"intron (NM_199076, intron 1 of 6)"	72195	NM_199076	54805	Hs.643509	NM_017649	ENSG00000148842	CNNM2	ACDP2|HOMG6|HOMGSMR	cyclin and CBS domain divalent metal cation transport mediator 2	protein-coding
chr1	30166972	30166972	+	0	NA	Intergenic	L1MC3|LINE|L1	343487	NR_110790	101929406	Hs.639413	NR_110790	ENSG00000233399	LINC01648	-	long intergenic non-protein coding RNA 1648	ncRNA
chr11	111780382	111780382	+	0	NA	"intron (NM_001330379, intron 2 of 2)"	"intron (NM_001330379, intron 2 of 2)"	1095	NM_001330379	1410	Hs.53454	NM_001885	ENSG00000109846	CRYAB	CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2	crystallin alpha B	protein-coding
chr1	50293056	50293056	+	0	NA	"intron (NM_001323573, intron 2 of 12)"	"intron (NM_001323573, intron 2 of 12)"	196570	NM_032785	84871	Hs.551844	NM_032785	ENSG00000186094	AGBL4	CCP6	ATP/GTP binding protein like 4	protein-coding
chr1	156034337	156034337	+	0	NA	"intron (NR_133653, intron 1 of 3)"	AluJb|SINE|Alu	3397	NM_020387	57111	Hs.632469	NM_020387	ENSG00000132698	RAB25	CATX-8|RAB11C	"RAB25, member RAS oncogene family"	protein-coding
chr1	235588952	235588952	+	0	NA	"intron (NM_001079515, intron 5 of 16)"	L2a|LINE|L2	58277	NM_001079515	6905	Hs.744998	NM_003193	ENSG00000116957	TBCE	HRD|KCS|KCS1|PEAMO|pac2	tubulin folding cofactor E	protein-coding
chr1	182713115	182713115	+	0	NA	Intergenic	L2a|LINE|L2	-45469	NM_030769	80896	Hs.496969	NM_030769	ENSG00000135838	NPL	C112|C1orf13|NAL|NPL1	N-acetylneuraminate pyruvate lyase	protein-coding
chr10	6710780	6710780	+	0	NA	Intergenic	Intergenic	33748	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
